epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,204.901,2.14464,1.69055,0.00249,0.26988,0.26347,0.22723,0.08724,2.51331,1.76969,0.00285,9.1945e-05,9.1945e-05,9.1945e-05
153,206.199,2.19458,1.66376,0.00243,0.29253,0.26291,0.23851,0.08802,2.51085,1.76985,0.00285,8.937e-05,8.937e-05,8.937e-05
154,207.488,2.29681,1.63627,0.00258,0.29253,0.26291,0.23851,0.08802,2.51085,1.76985,0.00285,8.68376e-05,8.68376e-05,8.68376e-05
155,208.745,2.1778,1.73976,0.00254,0.28043,0.26888,0.23956,0.08879,2.51597,1.77694,0.00286,8.43486e-05,8.43486e-05,8.43486e-05
156,209.98,2.137,1.68831,0.00252,0.28034,0.26589,0.23861,0.08909,2.51983,1.7658,0.00286,8.19036e-05,8.19036e-05,8.19036e-05
157,211.141,2.28568,1.78861,0.00259,0.28034,0.26589,0.23861,0.08909,2.51983,1.7658,0.00286,7.95031e-05,7.95031e-05,7.95031e-05
158,212.455,2.15711,1.64359,0.00255,0.27685,0.26888,0.23976,0.08965,2.52549,1.75898,0.00288,7.71478e-05,7.71478e-05,7.71478e-05
159,213.686,2.12915,1.81172,0.00254,0.27563,0.26888,0.24036,0.08987,2.53825,1.75716,0.00288,7.48382e-05,7.48382e-05,7.48382e-05
160,214.864,2.09259,1.61582,0.00249,0.27563,0.26888,0.24036,0.08987,2.53825,1.75716,0.00288,7.25749e-05,7.25749e-05,7.25749e-05
161,216.137,2.15941,1.65706,0.00256,0.2824,0.27258,0.24174,0.08883,2.54942,1.74704,0.00289,7.03585e-05,7.03585e-05,7.03585e-05
162,217.321,2.23611,1.65481,0.0025,0.2824,0.27258,0.24174,0.08883,2.54942,1.74704,0.00289,6.81894e-05,6.81894e-05,6.81894e-05
163,218.643,2.08817,1.59313,0.00251,0.28508,0.27513,0.24226,0.08976,2.54867,1.74111,0.00289,6.60684e-05,6.60684e-05,6.60684e-05
164,219.875,2.25351,1.6096,0.00252,0.27329,0.26637,0.22796,0.08852,2.55165,1.73583,0.00289,6.39958e-05,6.39958e-05,6.39958e-05
165,221.085,2.23228,1.67558,0.00244,0.27329,0.26637,0.22796,0.08852,2.55165,1.73583,0.00289,6.19721e-05,6.19721e-05,6.19721e-05
166,222.334,2.15786,1.72762,0.00273,0.28255,0.25083,0.22694,0.08956,2.55616,1.72189,0.0029,5.9998e-05,5.9998e-05,5.9998e-05
167,223.552,2.26765,1.73212,0.00249,0.4827,0.25083,0.22731,0.09078,2.54429,1.73287,0.0029,5.80738e-05,5.80738e-05,5.80738e-05
168,224.736,2.08483,1.76814,0.00255,0.4827,0.25083,0.22731,0.09078,2.54429,1.73287,0.0029,5.62e-05,5.62e-05,5.62e-05
169,226.007,2.19014,1.68641,0.00257,0.29125,0.24809,0.22103,0.09049,2.54135,1.72845,0.0029,5.43772e-05,5.43772e-05,5.43772e-05
170,227.216,2.1448,1.70402,0.00253,0.29125,0.24809,0.22103,0.09049,2.54135,1.72845,0.0029,5.26057e-05,5.26057e-05,5.26057e-05
171,228.437,2.14783,1.70085,0.00246,0.48297,0.23666,0.21979,0.09035,2.55359,1.72127,0.00292,5.0886e-05,5.0886e-05,5.0886e-05
172,229.685,2.1976,1.68899,0.0024,0.48057,0.23464,0.22203,0.08994,2.52847,1.72324,0.00288,4.92185e-05,4.92185e-05,4.92185e-05
173,230.821,2.04624,1.61732,0.00237,0.48057,0.23464,0.22203,0.08994,2.52847,1.72324,0.00288,4.76036e-05,4.76036e-05,4.76036e-05
174,232.015,2.21972,1.88347,0.0025,0.48013,0.23133,0.22315,0.09057,2.53595,1.72276,0.00289,4.60417e-05,4.60417e-05,4.60417e-05
175,233.289,2.24906,1.66943,0.00263,0.48179,0.23366,0.2235,0.09048,2.54691,1.7134,0.0029,4.45333e-05,4.45333e-05,4.45333e-05
176,234.548,2.19194,1.86738,0.00265,0.48179,0.23366,0.2235,0.09048,2.54691,1.7134,0.0029,4.30786e-05,4.30786e-05,4.30786e-05
177,235.797,2.21065,1.62113,0.00257,0.48252,0.23133,0.22494,0.09128,2.54031,1.71601,0.00289,4.16781e-05,4.16781e-05,4.16781e-05
178,236.965,2.16457,1.68759,0.00264,0.48252,0.23133,0.22494,0.09128,2.54031,1.71601,0.00289,4.0332e-05,4.0332e-05,4.0332e-05
179,238.245,2.1421,1.64881,0.00267,0.48009,0.23133,0.22371,0.09072,2.52951,1.72254,0.00288,3.90408e-05,3.90408e-05,3.90408e-05
180,239.445,2.15066,1.69442,0.00268,0.48154,0.2373,0.22405,0.09041,2.51237,1.7279,0.00287,3.78047e-05,3.78047e-05,3.78047e-05
